country,WBCode,1996 Estimate,1996 StdErr,1996 NumSrc,1996 Rank,1996 Lower,1996 Upper,1998 Estimate,1998 StdErr,1998 NumSrc,1998 Rank,1998 Lower,1998 Upper,2000 Estimate,2000 StdErr,2000 NumSrc,2000 Rank,2000 Lower,2000 Upper,2002 Estimate,2002 StdErr,2002 NumSrc,2002 Rank,2002 Lower,2002 Upper,2003 Estimate,2003 StdErr,2003 NumSrc,2003 Rank,2003 Lower,2003 Upper,2004 Estimate,2004 StdErr,2004 NumSrc,2004 Rank,2004 Lower,2004 Upper,2005 Estimate,2005 StdErr,2005 NumSrc,2005 Rank,2005 Lower,2005 Upper,2006 Estimate,2006 StdErr,2006 NumSrc,2006 Rank,2006 Lower,2006 Upper,2007 Estimate,2007 StdErr,2007 NumSrc,2007 Rank,2007 Lower,2007 Upper,2008 Estimate,2008 StdErr,2008 NumSrc,2008 Rank,2008 Lower,2008 Upper,2009 Estimate,2009 StdErr,2009 NumSrc,2009 Rank,2009 Lower,2009 Upper,2010 Estimate,2010 StdErr,2010 NumSrc,2010 Rank,2010 Lower,2010 Upper,2011 Estimate,2011 StdErr,2011 NumSrc,2011 Rank,2011 Lower,2011 Upper,2012 Estimate,2012 StdErr,2012 NumSrc,2012 Rank,2012 Lower,2012 Upper,2013 Estimate,2013 StdErr,2013 NumSrc,2013 Rank,2013 Lower,2013 Upper
AFGHANISTAN,AFG,-1.85,0.56,1.00,0.49,0.00,17.48,-1.84,0.51,1.00,0.49,0.00,14.08,-1.91,0.50,1.00,0.00,0.00,7.77,-1.43,0.47,1.00,0.49,0.00,34.47,-1.55,0.31,2.00,1.95,0.00,11.17,-1.42,0.24,4.00,3.90,0.00,13.11,-1.46,0.22,4.00,1.46,0.00,13.59,-1.44,0.22,6.00,3.41,0.49,10.68,-1.59,0.25,5.00,0.97,0.00,8.70,-1.64,0.24,6.00,0.97,0.00,5.80,-1.51,0.22,7.00,0.96,0.00,9.52,-1.62,0.21,8.00,0.95,0.00,5.21,-1.55,0.20,8.00,1.42,0.00,7.55,-1.41,0.20,9.00,1.91,0.00,13.33,-1.43,0.17,10.00,1.91,0.00,11.43
ALBANIA,ALB,-1.09,0.47,2.00,11.71,0.49,43.20,-1.01,0.28,4.00,13.66,2.43,35.44,-0.82,0.25,5.00,21.95,5.34,41.26,-0.86,0.23,5.00,25.85,3.88,38.35,-0.77,0.18,6.00,25.85,10.68,40.29,-0.67,0.17,8.00,27.32,16.02,44.17,-0.75,0.15,9.00,26.34,15.53,38.35,-0.81,0.15,11.00,22.44,12.14,34.95,-0.66,0.15,11.00,29.61,18.84,41.06,-0.55,0.14,11.00,34.95,23.19,46.86,-0.49,0.15,11.00,37.80,25.24,50.95,-0.49,0.14,11.00,36.67,27.49,49.76,-0.65,0.13,12.00,28.44,20.28,40.09,-0.72,0.13,12.00,26.79,19.05,38.10,-0.72,0.13,11.00,25.84,17.62,38.57
ALGERIA,DZA,-0.48,0.30,3.00,33.17,16.50,60.68,-0.97,0.20,5.00,15.12,3.88,31.55,-0.95,0.24,5.00,14.15,4.37,32.52,-0.94,0.19,5.00,21.46,3.40,34.47,-0.67,0.19,7.00,30.24,14.08,45.63,-0.63,0.18,9.00,28.29,16.99,47.09,-0.42,0.18,9.00,41.46,28.64,51.94,-0.49,0.16,9.00,37.56,24.27,51.46,-0.52,0.16,10.00,36.41,22.22,51.21,-0.56,0.16,11.00,34.47,21.26,48.31,-0.55,0.18,11.00,34.45,21.90,50.95,-0.49,0.17,11.00,37.14,23.22,53.08,-0.51,0.16,12.00,36.49,23.11,52.36,-0.49,0.16,13.00,38.28,25.71,52.38,-0.48,0.16,13.00,38.76,23.81,52.38
AMERICAN SAMOA,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0.39,1.00,77.07,59.71,91.75,0.80,0.32,1.00,77.56,63.11,89.32,0.33,0.42,1.00,67.80,44.17,81.55,0.34,0.41,1.00,68.93,46.38,81.64,0.36,0.40,1.00,67.48,46.86,81.64,0.38,0.42,1.00,70.33,47.62,82.86,0.37,0.43,1.00,68.10,46.45,82.94,0.36,0.40,1.00,68.25,46.70,80.19,0.35,0.42,1.00,67.94,47.62,81.43,0.35,0.43,1.00,66.03,47.62,80.95
ANDORRA,ADO,1.36,0.56,1.00,89.27,70.39,98.06,1.38,0.51,1.00,90.73,70.39,95.15,1.38,0.50,1.00,89.76,72.33,95.15,1.30,0.47,1.00,89.27,70.87,94.17,1.32,0.38,1.00,89.27,75.24,94.17,1.10,0.39,1.00,83.90,70.39,91.75,1.27,0.32,1.00,88.29,73.30,92.72,1.27,0.42,1.00,89.27,72.82,94.66,1.30,0.41,1.00,89.32,73.43,94.20,1.32,0.40,1.00,89.81,73.91,94.69,1.35,0.42,1.00,88.52,72.86,95.24,1.33,0.43,1.00,88.10,72.04,94.79,1.31,0.40,1.00,88.15,72.64,94.81,1.29,0.42,1.00,87.08,71.90,95.24,1.29,0.43,1.00,87.08,70.95,95.71
ANGOLA,AGO,-1.16,0.30,3.00,7.32,2.43,27.67,-1.32,0.20,5.00,2.44,2.43,14.56,-1.52,0.24,5.00,2.44,0.00,7.28,-1.14,0.19,5.00,7.80,0.49,27.18,-1.30,0.19,7.00,4.88,1.46,13.11,-1.28,0.18,9.00,7.32,1.46,15.53,-1.33,0.19,8.00,6.34,0.49,15.05,-1.23,0.17,10.00,7.80,2.43,17.48,-1.32,0.19,9.00,4.37,0.97,14.01,-1.28,0.19,10.00,4.85,1.45,15.94,-1.42,0.18,11.00,2.39,0.48,10.00,-1.32,0.17,12.00,3.81,1.42,14.69,-1.34,0.16,12.00,4.27,1.42,13.68,-1.30,0.17,11.00,4.78,0.48,17.14,-1.32,0.16,12.00,5.26,0.48,13.81
ANGUILLA,AIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0.39,1.00,78.05,60.68,91.75,1.27,0.32,1.00,88.29,73.30,92.72,1.27,0.42,1.00,89.27,72.82,94.66,1.30,0.41,1.00,89.32,73.43,94.20,1.32,0.40,1.00,89.81,73.91,94.69,1.35,0.42,1.00,88.52,72.86,95.24,1.33,0.43,1.00,88.10,72.04,94.79,1.31,0.40,1.00,88.15,72.64,94.81,1.29,0.42,1.00,87.08,71.90,95.24,1.29,0.43,1.00,87.08,70.95,95.71
ANTIGUA AND BARBUDA,ATG,0.90,0.56,1.00,82.44,60.68,93.20,0.92,0.51,1.00,82.44,61.65,92.72,0.91,0.50,1.00,82.93,62.62,92.72,0.85,0.47,1.00,81.95,61.17,91.75,0.83,0.38,1.00,79.51,61.17,91.26,0.84,0.37,2.00,78.54,61.65,91.75,0.77,0.31,2.00,74.15,62.14,88.35,1.27,0.42,1.00,89.27,72.82,94.66,1.30,0.41,1.00,89.32,73.43,94.20,1.32,0.40,1.00,89.81,73.91,94.69,1.35,0.42,1.00,88.52,72.86,95.24,1.33,0.43,1.00,88.10,72.04,94.79,1.31,0.40,1.00,88.15,72.64,94.81,1.29,0.42,1.00,87.08,71.90,95.24,1.29,0.43,1.00,87.08,70.95,95.71
ARGENTINA,ARG,-0.21,0.23,5.00,49.76,29.13,62.62,-0.18,0.18,6.00,52.68,38.83,62.14,-0.34,0.21,7.00,46.83,28.16,59.22,-0.51,0.17,7.00,36.59,28.64,50.00,-0.52,0.17,8.00,39.51,23.30,49.51,-0.45,0.16,10.00,40.49,25.73,50.49,-0.43,0.16,10.00,40.98,29.61,51.94,-0.40,0.15,12.00,40.98,29.61,53.40,-0.40,0.15,12.00,41.26,30.92,54.59,-0.47,0.15,13.00,39.81,27.05,49.76,-0.50,0.15,15.00,37.32,24.29,50.95,-0.41,0.16,15.00,42.38,28.91,54.50,-0.40,0.15,16.00,42.18,28.77,56.13,-0.49,0.14,16.00,38.76,27.14,50.95,-0.46,0.14,15.00,40.67,27.62,51.43
ARMENIA,ARM,-0.47,0.56,1.00,36.10,5.34,67.48,-0.74,0.28,4.00,26.83,5.83,44.17,-0.65,0.25,5.00,30.24,8.25,51.46,-0.65,0.23,5.00,34.15,12.62,48.06,-0.55,0.18,6.00,36.10,18.93,48.54,-0.61,0.17,7.00,29.27,17.96,47.09,-0.63,0.16,8.00,32.20,18.93,44.66,-0.59,0.15,12.00,33.66,21.36,44.66,-0.66,0.15,12.00,29.13,17.39,41.06,-0.63,0.14,13.00,31.55,19.32,42.51,-0.56,0.15,13.00,33.49,23.33,47.62,-0.65,0.14,13.00,30.48,19.43,41.71,-0.60,0.14,13.00,32.70,21.23,44.81,-0.53,0.13,14.00,36.36,26.19,47.62,-0.47,0.14,13.00,39.71,27.14,51.43
ARUBA,ABW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,0.39,1.00,85.37,71.36,91.75,1.27,0.32,1.00,88.29,73.30,92.72,1.27,0.42,1.00,89.27,72.82,94.66,1.30,0.41,1.00,89.32,73.43,94.20,1.32,0.40,1.00,89.81,73.91,94.69,1.11,0.29,2.00,84.21,72.86,90.95,1.13,0.29,2.00,84.29,72.99,91.94,1.12,0.28,2.00,83.89,72.64,91.98,1.11,0.30,2.00,82.78,71.90,91.43,1.13,0.30,2.00,82.30,71.90,91.43
AUSTRALIA,AUS,1.89,0.23,5.00,93.66,90.78,98.06,1.77,0.19,5.00,93.17,91.75,94.66,1.96,0.23,5.00,94.15,92.23,97.57,1.75,0.16,6.00,92.20,91.26,93.69,1.94,0.17,6.00,94.15,91.75,97.57,2.10,0.16,6.00,96.59,91.75,98.06,1.97,0.16,6.00,96.10,92.72,98.54,1.99,0.17,7.00,95.61,92.23,98.54,2.04,0.18,7.00,95.63,92.75,98.55,2.07,0.17,7.00,96.12,93.24,98.55,2.08,0.15,8.00,96.17,93.81,99.05,2.04,0.15,9.00,95.24,93.36,98.58,2.08,0.16,10.00,96.21,93.40,99.53,2.00,0.15,10.00,95.69,93.33,98.10,1.76,0.14,10.00,93.78,90.48,95.71
AUSTRIA,AUT,1.93,0.23,5.00,94.15,91.26,98.54,2.07,0.19,5.00,94.63,92.72,100.00,1.95,0.23,5.00,93.66,92.23,97.57,2.09,0.18,5.00,94.63,92.23,99.03,2.10,0.20,5.00,97.07,92.72,99.03,2.15,0.18,6.00,97.07,91.75,98.54,1.96,0.18,6.00,95.12,92.72,98.54,1.99,0.19,7.00,95.12,91.75,98.54,2.10,0.19,7.00,96.12,93.24,99.03,1.92,0.19,7.00,94.66,91.79,97.58,1.76,0.18,8.00,93.30,90.95,95.24,1.63,0.19,8.00,92.38,86.26,93.84,1.44,0.17,9.00,89.57,83.96,92.92,1.35,0.16,9.00,88.52,81.90,91.43,1.51,0.16,9.00,89.95,84.76,93.81
AZERBAIJAN,AZE,-1.25,0.31,2.00,6.34,0.97,27.18,-1.12,0.19,5.00,8.29,2.43,24.27,-1.09,0.19,7.00,7.32,3.40,24.76,-1.05,0.15,7.00,10.73,1.94,28.16,-0.95,0.15,8.00,15.12,8.74,29.13,-1.11,0.16,9.00,10.73,5.34,18.93,-0.99,0.14,10.00,16.10,9.22,25.73,-0.99,0.15,12.00,15.12,7.77,26.21,-1.02,0.15,12.00,12.62,6.76,23.19,-1.04,0.14,12.00,12.62,5.80,21.74,-1.11,0.14,13.00,10.05,5.24,20.95,-1.18,0.13,13.00,9.52,2.84,18.48,-1.12,0.13,13.00,11.85,4.72,19.34,-1.07,0.13,13.00,13.40,5.24,21.90,-0.90,0.14,12.00,18.66,11.43,29.52
"BAHAMAS, THE",BHS,1.20,0.47,2.00,85.37,67.48,94.17,1.35,0.46,2.00,87.32,71.84,94.66,1.39,0.46,2.00,90.24,73.79,94.66,1.45,0.39,2.00,90.73,79.61,94.66,1.40,0.35,2.00,91.22,77.18,94.17,1.40,0.35,2.00,91.71,78.16,94.66,1.33,0.29,2.00,89.76,78.64,92.72,1.38,0.35,2.00,90.73,77.67,94.17,1.37,0.36,2.00,91.26,74.40,93.72,1.38,0.35,2.00,91.26,75.36,94.69,1.37,0.27,3.00,89.47,79.05,93.81,1.36,0.25,3.00,88.57,80.09,93.36,1.36,0.25,3.00,89.10,79.72,93.40,1.34,0.23,3.00,88.04,80.00,93.33,1.36,0.23,3.00,89.00,79.52,93.33
BAHRAIN,BHR,0.17,0.30,3.00,62.93,42.72,76.70,0.10,0.22,3.00,61.95,45.15,67.48,0.37,0.30,3.00,66.83,57.28,81.07,0.77,0.19,4.00,78.54,69.42,83.01,0.45,0.23,5.00,71.22,57.77,77.67,0.53,0.21,6.00,71.71,60.68,79.13,0.47,0.20,6.00,68.78,59.22,74.76,0.24,0.21,6.00,64.39,55.83,72.82,0.25,0.21,6.00,64.08,56.04,73.43,0.25,0.21,6.00,64.08,56.04,73.91,0.24,0.19,8.00,65.55,57.62,71.90,0.25,0.19,8.00,64.29,56.40,72.04,0.24,0.18,8.00,64.45,56.13,71.70,0.39,0.18,8.00,68.42,61.43,72.86,0.45,0.18,8.00,69.38,62.38,74.29
BANGLADESH,BGD,-0.73,0.30,3.00,27.32,6.80,44.66,-0.44,0.21,4.00,39.02,26.21,56.31,-0.94,0.20,6.00,15.61,5.34,31.55,-1.18,0.16,6.00,4.88,0.49,23.79,-1.33,0.18,7.00,3.90,1.46,11.17,-1.49,0.19,9.00,2.93,0.00,10.19,-1.41,0.18,9.00,4.88,0.00,12.14,-1.42,0.16,11.00,3.90,0.97,10.19,-1.05,0.17,12.00,11.17,4.83,22.71,-1.02,0.16,12.00,14.08,5.31,24.64,-1.03,0.17,12.00,14.83,5.71,24.76,-1.02,0.17,13.00,14.76,5.21,25.59,-1.05,0.16,14.00,14.69,5.19,22.64,-0.87,0.15,14.00,21.05,11.90,30.48,-0.89,0.15,13.00,20.57,11.43,29.52
